Date : 2024-09-20 13:55:45
Directory : c:\Code\MeetMate\src
Total : 83 files,  10650 codes, 225 comments, 895 blanks, all 11770 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| Views\Pages\ApprovalQueue\Components                                                |          1 |         59 |          0 |          2 |         61 |
| Views\Pages\BlockedDates                                                            |          2 |        446 |          0 |         33 |        479 |
| Views\Pages\BlockedDates (Files)                                                    |          1 |        253 |          0 |         22 |        275 |
| Views\Pages\BlockedDates\Components                                                 |          1 |        193 |          0 |         11 |        204 |
| Views\Pages\Daily                                                                   |          8 |      1,091 |         44 |         92 |      1,227 |
| Views\Pages\Daily (Files)                                                           |          1 |        148 |          0 |         11 |        159 |
| Views\Pages\Daily\Components                                                        |          7 |        943 |         44 |         81 |      1,068 |
| Views\Pages\Groups                                                                  |          2 |        345 |          0 |         31 |        376 |
| Views\Pages\Groups (Files)                                                          |          1 |        263 |          0 |         25 |        288 |
| Views\Pages\Groups\Components                                                       |          1 |         82 |          0 |          6 |         88 |
| Views\Pages\Home                                                                    |          1 |          9 |          0 |          4 |         13 |
| Views\Pages\Locations                                                               |          1 |        182 |          0 |         17 |        199 |
| Views\Pages\Login                                                                   |          2 |        343 |          6 |         23 |        372 |
| Views\Pages\Login (Files)                                                           |          1 |        127 |          2 |         10 |        139 |
| Views\Pages\Login\Components                                                        |          1 |        216 |          4 |         13 |        233 |
| Views\Pages\MeetingTypes                                                            |          2 |        288 |          0 |         30 |        318 |
| Views\Pages\MeetingTypes (Files)                                                    |          1 |        221 |          0 |         23 |        244 |
| Views\Pages\MeetingTypes\Components                                                 |          1 |         67 |          0 |          7 |         74 |
| Views\Pages\Monthly                                                                 |          7 |        894 |         22 |         65 |        981 |
| Views\Pages\Monthly (Files)                                                         |          1 |        166 |          0 |         13 |        179 |
| Views\Pages\Monthly\Components                                                      |          6 |        728 |         22 |         52 |        802 |
| Views\Pages\MyAccount                                                               |          1 |        198 |          0 |         10 |        208 |
| Views\Pages\MyBookings                                                              |          2 |        392 |          0 |         37 |        429 |
| Views\Pages\MyBookings (Files)                                                      |          1 |        333 |          0 |         34 |        367 |
| Views\Pages\MyBookings\Components                                                   |          1 |         59 |          0 |          3 |         62 |
| Views\Pages\Resources                                                               |          4 |        595 |          0 |         64 |        659 |
| Views\Pages\Resources (Files)                                                       |          2 |        460 |          0 |         46 |        506 |
| Views\Pages\Resources\Components                                                    |          2 |        135 |          0 |         18 |        153 |
| Views\Pages\Rooms                                                                   |          3 |        680 |          4 |         51 |        735 |
| Views\Pages\Rooms (Files)                                                           |          1 |        328 |          0 |         32 |        360 |
| Views\Pages\Rooms\Components                                                        |          2 |        352 |          4 |         19 |        375 |
| Views\Pages\Users                                                                   |          3 |        827 |          4 |         46 |        877 |
| Views\Pages\Users (Files)                                                           |          1 |        446 |          0 |         33 |        479 |
| Views\Pages\Users\Components                                                        |          2 |        381 |          4 |         13 |        398 |
| Views\Pages\Weekly                                                                  |          7 |        883 |         19 |         65 |        967 |
| Views\Pages\Weekly (Files)                                                          |          1 |        157 |          0 |         14 |        171 |
| Views\Pages\Weekly\Components                                                       |          6 |        726 |         19 |         51 |        796 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Code\MeetMate\src\App.js                                                         | JavaScript |         63 |          4 |          8 |         75 |
| c:\Code\MeetMate\src\Components\ShortSelect.js                                      | JavaScript |         66 |          0 |          4 |         70 |
| c:\Code\MeetMate\src\Components\ShortSelectObject.js                                | JavaScript |         68 |          0 |          5 |         73 |
| c:\Code\MeetMate\src\Components\ShortTextField.js                                   | JavaScript |         47 |          0 |          3 |         50 |
| c:\Code\MeetMate\src\Routes\Routes.js                                               | JavaScript |        223 |          2 |          6 |        231 |
| c:\Code\MeetMate\src\Utilites\AuthContext.js                                        | JavaScript |         15 |          1 |          3 |         19 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions.js                             | JavaScript |        308 |         20 |          7 |        335 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\BlockedDatesFunctions.js       | JavaScript |         35 |          1 |          5 |         41 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\GroupFunctions.js              | JavaScript |         38 |          1 |          4 |         43 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\GroupUsersFunctions.js         | JavaScript |         53 |          1 |          9 |         63 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\MeetingFunctions.js            | JavaScript |        199 |          2 |         29 |        230 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\MeetingRecurrencesFunctions.js | JavaScript |         13 |          1 |          1 |         15 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\MeetingTypeFunctions.js        | JavaScript |         38 |          1 |          4 |         43 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\ResourceFunctions.js           | JavaScript |         83 |          3 |         11 |         97 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\RoomFunctions.js               | JavaScript |         58 |          1 |          7 |         66 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\RoomGroupFunctions.js          | JavaScript |         54 |          1 |          8 |         63 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions\UserFunctions.js               | JavaScript |        146 |          4 |         19 |        169 |
| c:\Code\MeetMate\src\Utilites\Functions\ColorFunctions.js                           | JavaScript |         48 |         31 |         16 |         95 |
| c:\Code\MeetMate\src\Utilites\Functions\CommonFunctions.js                          | JavaScript |         70 |         16 |         17 |        103 |
| c:\Code\MeetMate\src\Utilites\Hooks\useMultiSyncScrollHorizontal.js                 | JavaScript |         34 |          1 |         12 |         47 |
| c:\Code\MeetMate\src\Utilites\Hooks\useSyncScrollHorizontal.js                      | JavaScript |         20 |          0 |          5 |         25 |
| c:\Code\MeetMate\src\Utilites\Hooks\useSyncScrollVertical.js                        | JavaScript |         57 |          0 |         13 |         70 |
| c:\Code\MeetMate\src\Utilites\SnackbarContext.js                                    | JavaScript |         77 |          1 |         12 |         90 |
| c:\Code\MeetMate\src\Utilites\theme.js                                              | JavaScript |         61 |          2 |          7 |         70 |
| c:\Code\MeetMate\src\Views\Components\Banner\Banner.js                              | JavaScript |         48 |          0 |          5 |         53 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\DateSelector.js             | JavaScript |         81 |          5 |         11 |         97 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\DayComponent.js             | JavaScript |         54 |          0 |          5 |         59 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\MonthSelector.js            | JavaScript |         72 |          5 |          8 |         85 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\WeekPicker.js               | JavaScript |         84 |          3 |          8 |         95 |
| c:\Code\MeetMate\src\Views\Components\DisplayMeeting\DisplayMeeting.js              | JavaScript |        409 |          0 |         15 |        424 |
| c:\Code\MeetMate\src\Views\Components\PageSelector\PageSelector.js                  | JavaScript |         30 |          0 |          4 |         34 |
| c:\Code\MeetMate\src\Views\Components\SideBar\SideBar.css                           | CSS        |         46 |          0 |         11 |         57 |
| c:\Code\MeetMate\src\Views\Components\SideBar\SideBar.js                            | JavaScript |        324 |         16 |         12 |        352 |
| c:\Code\MeetMate\src\Views\Pages\ApprovalQueue\ApprovalQueue.js                     | JavaScript |        361 |          0 |         26 |        387 |
| c:\Code\MeetMate\src\Views\Pages\ApprovalQueue\Components\RowMeeting.js             | JavaScript |         59 |          0 |          2 |         61 |
| c:\Code\MeetMate\src\Views\Pages\BlockedDates\BlockedDates.js                       | JavaScript |        253 |          0 |         22 |        275 |
| c:\Code\MeetMate\src\Views\Pages\BlockedDates\Components\AddBlockedDate.js          | JavaScript |        193 |          0 |         11 |        204 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\DayCalender.js                    | JavaScript |        205 |         14 |         20 |        239 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\Footer.js                         | JavaScript |         24 |          0 |          4 |         28 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\HorizontalScrollBar.js            | JavaScript |         86 |          0 |         10 |         96 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\HoursBar.js                       | JavaScript |         30 |          0 |          2 |         32 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\MeetingBox.js                     | JavaScript |        189 |         21 |         21 |        231 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\MeetingForum.js                   | JavaScript |        332 |          5 |         16 |        353 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\MinuteBox.js                      | JavaScript |         77 |          4 |          8 |         89 |
| c:\Code\MeetMate\src\Views\Pages\Daily\index.js                                     | JavaScript |        148 |          0 |         11 |        159 |
| c:\Code\MeetMate\src\Views\Pages\Groups\Components\AddNewGroup.js                   | JavaScript |         82 |          0 |          6 |         88 |
| c:\Code\MeetMate\src\Views\Pages\Groups\Groups.js                                   | JavaScript |        263 |          0 |         25 |        288 |
| c:\Code\MeetMate\src\Views\Pages\Home\index.js                                      | JavaScript |          9 |          0 |          4 |         13 |
| c:\Code\MeetMate\src\Views\Pages\Locations\Locations.js                             | JavaScript |        182 |          0 |         17 |        199 |
| c:\Code\MeetMate\src\Views\Pages\Login\Components\Signup.js                         | JavaScript |        216 |          4 |         13 |        233 |
| c:\Code\MeetMate\src\Views\Pages\Login\Login.js                                     | JavaScript |        127 |          2 |         10 |        139 |
| c:\Code\MeetMate\src\Views\Pages\MeetingTypes\Components\AddNewType.js              | JavaScript |         67 |          0 |          7 |         74 |
| c:\Code\MeetMate\src\Views\Pages\MeetingTypes\MeetingTypes.js                       | JavaScript |        221 |          0 |         23 |        244 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\DayBox.js                       | JavaScript |         93 |          3 |          8 |        104 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\DaysBar.js                      | JavaScript |         23 |          0 |          4 |         27 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\Footer.js                       | JavaScript |         10 |          0 |          5 |         15 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MeetingComponent.js             | JavaScript |        123 |         11 |          8 |        142 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MeetingForum.js                 | JavaScript |        317 |          5 |         18 |        340 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MonthCalender.js                | JavaScript |        162 |          3 |          9 |        174 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\index.js                                   | JavaScript |        166 |          0 |         13 |        179 |
| c:\Code\MeetMate\src\Views\Pages\MyAccount\MyAccount.js                             | JavaScript |        198 |          0 |         10 |        208 |
| c:\Code\MeetMate\src\Views\Pages\MyBookings\Components\RowMeeting.js                | JavaScript |         59 |          0 |          3 |         62 |
| c:\Code\MeetMate\src\Views\Pages\MyBookings\MyBookings.js                           | JavaScript |        333 |          0 |         34 |        367 |
| c:\Code\MeetMate\src\Views\Pages\Resources\Components\AddNewResource.js             | JavaScript |         52 |          0 |          8 |         60 |
| c:\Code\MeetMate\src\Views\Pages\Resources\Components\AddNewRoomResource.js         | JavaScript |         83 |          0 |         10 |         93 |
| c:\Code\MeetMate\src\Views\Pages\Resources\Resources.js                             | JavaScript |        220 |          0 |         22 |        242 |
| c:\Code\MeetMate\src\Views\Pages\Resources\RoomResources.js                         | JavaScript |        240 |          0 |         24 |        264 |
| c:\Code\MeetMate\src\Views\Pages\Rooms\Components\AddNewRoom.js                     | JavaScript |        243 |          4 |         10 |        257 |
| c:\Code\MeetMate\src\Views\Pages\Rooms\Components\RowRoom.js                        | JavaScript |        109 |          0 |          9 |        118 |
| c:\Code\MeetMate\src\Views\Pages\Rooms\Rooms.js                                     | JavaScript |        328 |          0 |         32 |        360 |
| c:\Code\MeetMate\src\Views\Pages\Users\Components\AddNewUser.js                     | JavaScript |        294 |          4 |         10 |        308 |
| c:\Code\MeetMate\src\Views\Pages\Users\Components\ViewUser.js                       | JavaScript |         87 |          0 |          3 |         90 |
| c:\Code\MeetMate\src\Views\Pages\Users\Users.js                                     | JavaScript |        446 |          0 |         33 |        479 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\DayBox.js                        | JavaScript |         96 |          2 |          7 |        105 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\DaysBar.js                       | JavaScript |         23 |          0 |          4 |         27 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\Footer.js                        | JavaScript |         10 |          0 |          5 |         15 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\MeetingComponent.js              | JavaScript |        123 |         11 |          8 |        142 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\MeetingForum.js                  | JavaScript |        320 |          5 |         17 |        342 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\WeekCalender.js                  | JavaScript |        154 |          1 |         10 |        165 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\index.js                                    | JavaScript |        157 |          0 |         14 |        171 |
| c:\Code\MeetMate\src\index.css                                                      | CSS        |          5 |          0 |          0 |          5 |
| c:\Code\MeetMate\src\index.js                                                       | JavaScript |         18 |          3 |          3 |         24 |
| c:\Code\MeetMate\src\reportWebVitals.js                                             | JavaScript |         12 |          0 |          2 |         14 |
| Total                                                                               |            |     10,650 |        225 |        895 |     11,770 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
