Date : 2024-08-29 09:27:33
Directory : c:\Code\MeetMate\backend
Total : 116 files,  -7168 codes, -175 comments, -611 blanks, all -7954 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| filename                                                                    | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Code\MeetMate\backend\.env                                               | Properties |          5 |          0 |          0 |          5 |
| c:\Code\MeetMate\backend\app.js                                             | JavaScript |         60 |          3 |         10 |         73 |
| c:\Code\MeetMate\backend\config\database.js                                 | JavaScript |         26 |          0 |          4 |         30 |
| c:\Code\MeetMate\backend\controllers\blockedDateController.js               | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\groupController.js                     | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\groupUserController.js                 | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\meetingControler.js                    | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\meetingGroupController.js              | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\officeController.js                    | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\resourceController.js                  | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\roomController.js                      | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\roomGroupController.js                 | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\roomResourceController.js              | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\typeController.js                      | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\controllers\userController.js                      | JavaScript |         13 |          0 |          4 |         17 |
| c:\Code\MeetMate\backend\index.js                                           | JavaScript |        106 |          0 |         16 |        122 |
| c:\Code\MeetMate\backend\models\blockedDate.js                              | JavaScript |         51 |          0 |          3 |         54 |
| c:\Code\MeetMate\backend\models\group.js                                    | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\groupUser.js                                | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\index.js                                    | JavaScript |         31 |          2 |          3 |         36 |
| c:\Code\MeetMate\backend\models\meeting.js                                  | JavaScript |         79 |          0 |          3 |         82 |
| c:\Code\MeetMate\backend\models\meetingGroup.js                             | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\office.js                                   | JavaScript |         42 |          0 |          3 |         45 |
| c:\Code\MeetMate\backend\models\resource.js                                 | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\room.js                                     | JavaScript |         43 |          0 |          3 |         46 |
| c:\Code\MeetMate\backend\models\roomGroup.js                                | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\roomResource.js                             | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\type.js                                     | JavaScript |         35 |          0 |          3 |         38 |
| c:\Code\MeetMate\backend\models\user.js                                     | JavaScript |         55 |          0 |          3 |         58 |
| c:\Code\MeetMate\backend\package-lock.json                                  | JSON       |      1,864 |          0 |          1 |      1,865 |
| c:\Code\MeetMate\backend\package.json                                       | JSON       |         20 |          0 |          1 |         21 |
| c:\Code\MeetMate\backend\routes\blockedDates.js                             | JavaScript |          5 |          0 |          3 |          8 |
| c:\Code\MeetMate\backend\routes\groupUsers.js                               | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\groups.js                                   | JavaScript |          5 |          0 |          3 |          8 |
| c:\Code\MeetMate\backend\routes\meetingGroups.js                            | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\meetings.js                                 | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\offices.js                                  | JavaScript |          5 |          0 |          3 |          8 |
| c:\Code\MeetMate\backend\routes\resources.js                                | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\roomGroups.js                               | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\roomResources.js                            | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\rooms.js                                    | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\types.js                                    | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\backend\routes\users.js                                    | JavaScript |          5 |          0 |          2 |          7 |
| c:\Code\MeetMate\src\App.js                                                 | JavaScript |        -52 |         -1 |         -6 |        -59 |
| c:\Code\MeetMate\src\Components\ShortSelect.js                              | JavaScript |        -66 |          0 |         -4 |        -70 |
| c:\Code\MeetMate\src\Components\ShortSelectObject.js                        | JavaScript |        -68 |          0 |         -5 |        -73 |
| c:\Code\MeetMate\src\Components\ShortTextFeild.js                           | JavaScript |        -47 |          0 |         -3 |        -50 |
| c:\Code\MeetMate\src\Routes\Routes.js                                       | JavaScript |       -223 |         -2 |         -6 |       -231 |
| c:\Code\MeetMate\src\Utilites\AuthContext.js                                | JavaScript |        -14 |          0 |         -5 |        -19 |
| c:\Code\MeetMate\src\Utilites\Functions\ApiFunctions.js                     | JavaScript |       -239 |        -16 |         -8 |       -263 |
| c:\Code\MeetMate\src\Utilites\Functions\ColorFunctions.js                   | JavaScript |        -48 |        -31 |        -16 |        -95 |
| c:\Code\MeetMate\src\Utilites\Functions\CommonFunctions.js                  | JavaScript |        -67 |        -16 |        -16 |        -99 |
| c:\Code\MeetMate\src\Utilites\Hooks\useMultiSyncScrollHorizontal.js         | JavaScript |        -34 |         -1 |        -12 |        -47 |
| c:\Code\MeetMate\src\Utilites\Hooks\useSyncScrollHorizontal.js              | JavaScript |        -20 |          0 |         -5 |        -25 |
| c:\Code\MeetMate\src\Utilites\Hooks\useSyncScrollVertical.js                | JavaScript |        -57 |          0 |        -13 |        -70 |
| c:\Code\MeetMate\src\Utilites\SnackbarContext.js                            | JavaScript |        -77 |         -1 |        -12 |        -90 |
| c:\Code\MeetMate\src\Utilites\theme.js                                      | JavaScript |        -56 |         -2 |         -7 |        -65 |
| c:\Code\MeetMate\src\Views\Components\Banner\Banner.js                      | JavaScript |        -48 |          0 |         -5 |        -53 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\DateSelector.js     | JavaScript |        -81 |         -5 |        -11 |        -97 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\DayComponent.js     | JavaScript |        -54 |          0 |         -5 |        -59 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\MonthSelector.js    | JavaScript |        -71 |         -5 |         -8 |        -84 |
| c:\Code\MeetMate\src\Views\Components\Banner\Components\WeekPicker.js       | JavaScript |        -84 |         -3 |         -8 |        -95 |
| c:\Code\MeetMate\src\Views\Components\DisplayMeeting\DisplayMeeting.js      | JavaScript |       -116 |          0 |         -6 |       -122 |
| c:\Code\MeetMate\src\Views\Components\PageSelector\PageSelector.js          | JavaScript |        -30 |          0 |         -4 |        -34 |
| c:\Code\MeetMate\src\Views\Components\SideBar\SideBar.css                   | CSS        |        -46 |          0 |        -11 |        -57 |
| c:\Code\MeetMate\src\Views\Components\SideBar\SideBar.js                    | JavaScript |       -319 |        -16 |        -12 |       -347 |
| c:\Code\MeetMate\src\Views\Pages\ApprovalQueue\ApprovalQueue.js             | JavaScript |       -345 |          0 |        -26 |       -371 |
| c:\Code\MeetMate\src\Views\Pages\ApprovalQueue\Components\RowMeeting.js     | JavaScript |        -59 |          0 |         -2 |        -61 |
| c:\Code\MeetMate\src\Views\Pages\BlockedDates\BlockedDates.js               | JavaScript |       -234 |          0 |        -22 |       -256 |
| c:\Code\MeetMate\src\Views\Pages\BlockedDates\Components\AddBlockedDate.js  | JavaScript |       -106 |          0 |         -8 |       -114 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\DayCalender.js            | JavaScript |       -257 |        -14 |        -20 |       -291 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\Footer.js                 | JavaScript |        -12 |          0 |         -3 |        -15 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\HorizontalScrollBar.js    | JavaScript |        -86 |          0 |        -10 |        -96 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\HoursBar.js               | JavaScript |        -30 |          0 |         -2 |        -32 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\MeetingBox.js             | JavaScript |       -172 |        -13 |        -13 |       -198 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\MeetingForum.js           | JavaScript |       -195 |         -5 |        -16 |       -216 |
| c:\Code\MeetMate\src\Views\Pages\Daily\Components\MinuteBox.js              | JavaScript |        -77 |         -4 |         -8 |        -89 |
| c:\Code\MeetMate\src\Views\Pages\Daily\index.js                             | JavaScript |       -371 |          0 |        -13 |       -384 |
| c:\Code\MeetMate\src\Views\Pages\Groups\Components\AddNewGroup.js           | JavaScript |        -56 |          0 |         -7 |        -63 |
| c:\Code\MeetMate\src\Views\Pages\Groups\Groups.js                           | JavaScript |       -223 |          0 |        -26 |       -249 |
| c:\Code\MeetMate\src\Views\Pages\Home\index.js                              | JavaScript |         -9 |          0 |         -4 |        -13 |
| c:\Code\MeetMate\src\Views\Pages\Locations\Locations.js                     | JavaScript |       -182 |          0 |        -17 |       -199 |
| c:\Code\MeetMate\src\Views\Pages\Login\Components\Signup.js                 | JavaScript |       -287 |          0 |         -4 |       -291 |
| c:\Code\MeetMate\src\Views\Pages\Login\Login.js                             | JavaScript |        -98 |          0 |         -5 |       -103 |
| c:\Code\MeetMate\src\Views\Pages\MeetingTypes\Components\AddNewType.js      | JavaScript |        -59 |          0 |         -8 |        -67 |
| c:\Code\MeetMate\src\Views\Pages\MeetingTypes\MeetingTypes.js               | JavaScript |       -249 |          0 |        -24 |       -273 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\DayBox.js               | JavaScript |        -87 |          0 |         -8 |        -95 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\DaysBar.js              | JavaScript |        -23 |          0 |         -4 |        -27 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\Footer.js               | JavaScript |        -10 |          0 |         -5 |        -15 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MeetingComponent.js     | JavaScript |       -122 |        -11 |         -8 |       -141 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MeetingForum.js         | JavaScript |       -193 |         -5 |        -15 |       -213 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\Components\MonthCalender.js        | JavaScript |       -232 |         -3 |        -14 |       -249 |
| c:\Code\MeetMate\src\Views\Pages\Monthly\index.js                           | JavaScript |       -374 |          0 |        -13 |       -387 |
| c:\Code\MeetMate\src\Views\Pages\MyAccount\MyAccount.js                     | JavaScript |       -107 |          0 |         -8 |       -115 |
| c:\Code\MeetMate\src\Views\Pages\MyBookings\Components\RowMeeting.js        | JavaScript |        -59 |          0 |         -3 |        -62 |
| c:\Code\MeetMate\src\Views\Pages\MyBookings\MyBookings.js                   | JavaScript |       -615 |          0 |        -34 |       -649 |
| c:\Code\MeetMate\src\Views\Pages\Resources\Components\AddNewResource.js     | JavaScript |        -39 |          0 |         -9 |        -48 |
| c:\Code\MeetMate\src\Views\Pages\Resources\Components\AddNewRoomResource.js | JavaScript |        -64 |          0 |         -8 |        -72 |
| c:\Code\MeetMate\src\Views\Pages\Resources\Resources.js                     | JavaScript |       -203 |          0 |        -20 |       -223 |
| c:\Code\MeetMate\src\Views\Pages\Resources\RoomResources.js                 | JavaScript |       -221 |          0 |        -23 |       -244 |
| c:\Code\MeetMate\src\Views\Pages\Rooms\Components\AddNewRoom.js             | JavaScript |       -196 |         -2 |         -8 |       -206 |
| c:\Code\MeetMate\src\Views\Pages\Rooms\Components\RowRoom.js                | JavaScript |        -87 |          0 |         -4 |        -91 |
| c:\Code\MeetMate\src\Views\Pages\Rooms\Rooms.js                             | JavaScript |       -279 |          0 |        -29 |       -308 |
| c:\Code\MeetMate\src\Views\Pages\Users\Components\AddNewUser.js             | JavaScript |       -227 |         -2 |        -12 |       -241 |
| c:\Code\MeetMate\src\Views\Pages\Users\Components\ViewUser.js               | JavaScript |        -87 |          0 |         -3 |        -90 |
| c:\Code\MeetMate\src\Views\Pages\Users\Users.js                             | JavaScript |       -693 |          0 |        -32 |       -725 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\DayBox.js                | JavaScript |        -89 |          0 |         -6 |        -95 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\DaysBar.js               | JavaScript |        -23 |          0 |         -4 |        -27 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\Footer.js                | JavaScript |        -10 |          0 |         -5 |        -15 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\MeetingComponent.js      | JavaScript |       -122 |        -11 |         -8 |       -141 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\MeetingForum.js          | JavaScript |       -194 |         -5 |        -15 |       -214 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\Components\WeekCalender.js          | JavaScript |       -225 |         -3 |        -14 |       -242 |
| c:\Code\MeetMate\src\Views\Pages\Weekly\index.js                            | JavaScript |       -371 |          0 |        -14 |       -385 |
| c:\Code\MeetMate\src\index.css                                              | CSS        |         -5 |          0 |          0 |         -5 |
| c:\Code\MeetMate\src\index.js                                               | JavaScript |        -18 |         -3 |         -3 |        -24 |
| c:\Code\MeetMate\src\reportWebVitals.js                                     | JavaScript |        -12 |          0 |         -2 |        -14 |
| Total                                                                       |            |     -7,168 |       -175 |       -611 |     -7,954 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
